Designator,Footprint,Quantity,Value,LCSC Part #
"C11, C12, C13",CP_Radial_D10.0mm_P5.00mm,3,2200u 25V,
"C14, CD_U2, CD_U5",0603,3,100n,
"COU1, COU10, COU2, COU3, COU4, COU5, COU6, COU7, COU8, COU9",0805,10,0.1u,
CR1,SMCJSeries_LTF,1,SMCJ24A,
"D2, D3",0603,2,LED,
D4,D_SMA,1,SS14,
J10,IDC-Header_2x13_P2.54mm_Vertical,1,Outputs 53-78,
J8,IDC-Header_2x13_P2.54mm_Vertical,1,Outputs 1-26,
J9,IDC-Header_2x13_P2.54mm_Vertical,1,Outputs 27-52,
"MGR1, MGR10, MGR11, MGR12, MGR13, MGR14, MGR15, MGR16, MGR17, MGR18, MGR19, MGR2, MGR20, MGR21, MGR22, MGR23, MGR24, MGR25, MGR26, MGR27, MGR28, MGR29, MGR3, MGR30, MGR31, MGR32, MGR33, MGR34, MGR35, MGR36, MGR37, MGR38, MGR39, MGR4, MGR40, MGR41, MGR42, MGR43, MGR44, MGR45, MGR46, MGR47, MGR48, MGR49, MGR5, MGR50, MGR51, MGR52, MGR53, MGR54, MGR55, MGR56, MGR57, MGR58, MGR59, MGR6, MGR60, MGR61, MGR62, MGR63, MGR64, MGR65, MGR66, MGR67, MGR68, MGR69, MGR7, MGR70, MGR71, MGR72, MGR73, MGR74, MGR75, MGR76, MGR77, MGR78, MGR79, MGR8, MGR80, MGR9, R4, R9",0603,82,100K,
"MQ1, MQ10, MQ11, MQ12, MQ13, MQ14, MQ15, MQ16, MQ17, MQ18, MQ19, MQ2, MQ20, MQ21, MQ22, MQ23, MQ24, MQ25, MQ26, MQ27, MQ28, MQ29, MQ3, MQ30, MQ31, MQ32, MQ33, MQ34, MQ35, MQ36, MQ37, MQ38, MQ39, MQ4, MQ40, MQ41, MQ42, MQ43, MQ44, MQ45, MQ46, MQ47, MQ48, MQ49, MQ5, MQ50, MQ51, MQ52, MQ53, MQ54, MQ55, MQ56, MQ57, MQ58, MQ59, MQ6, MQ60, MQ61, MQ62, MQ63, MQ64, MQ65, MQ66, MQ67, MQ68, MQ69, MQ7, MQ70, MQ71, MQ72, MQ73, MQ74, MQ75, MQ76, MQ77, MQ78, MQ79, MQ8, MQ80, MQ9",SOT-23,80,Si2308CDS-T1-GE3,
"MSR1, MSR10, MSR11, MSR12, MSR13, MSR14, MSR15, MSR16, MSR17, MSR18, MSR19, MSR2, MSR20, MSR21, MSR22, MSR23, MSR24, MSR25, MSR26, MSR27, MSR28, MSR29, MSR3, MSR30, MSR31, MSR32, MSR33, MSR34, MSR35, MSR36, MSR37, MSR38, MSR39, MSR4, MSR40, MSR41, MSR42, MSR43, MSR44, MSR45, MSR46, MSR47, MSR48, MSR49, MSR5, MSR50, MSR51, MSR52, MSR53, MSR54, MSR55, MSR56, MSR57, MSR58, MSR59, MSR6, MSR60, MSR61, MSR62, MSR63, MSR64, MSR65, MSR66, MSR67, MSR68, MSR69, MSR7, MSR70, MSR71, MSR72, MSR73, MSR74, MSR75, MSR76, MSR77, MSR78, MSR79, MSR8, MSR80, MSR9",0603,80,100R,
"Q1, Q2",SOT-23,2,MMBT3904,
"R1, R8, RP_DIP1, RP_DIP2, RP_DIP3, RP_DIP4, RS1",0603,7,10k,
"R2, R5, R7",0603,3,220R,
R3,0603,1,2.2K,
R6,0603,1,4.7k,
"RLED1, RLED2",0805,2,4.7k,
"RS_UART_RX1, RS_UART_TX1",0603,2,33R,
R_TERM1,0603,1,120R,
U2,DIP-8_W7.62mm,1,6N137,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
"UO1, UO10, UO2, UO3, UO4, UO5, UO6, UO7, UO8, UO9",SOP-16_3.9x9.9mm_P1.27mm,10,74HC595,
